,County,OSM County Code,# Injury Deaths,County Value,Average Reachability,Average Reach Area,# Hospitals,Hospital Coords,Isochrone Boundaries
0,Weld,3601411334,1178.0,75.0,0.1642,143.28411246000002,1,"[[-104.708941, 40.4142938]]","[[[[-104.811143, 40.397509], [-104.80419, 40.39357], [-104.797279, 40.390529], [-104.788173, 40.385253], [-104.786388, 40.381017], [-104.784898, 40.37991], [-104.784323, 40.379905], [-104.773584, 40.377354], [-104.772841, 40.376009], [-104.771787, 40.37601], [-104.771783, 40.37601], [-104.769326, 40.376094], [-104.760946, 40.376018], [-104.755462, 40.373439], [-104.755187, 40.373816], [-104.747384, 40.378578], [-104.743094, 40.373171], [-104.743111, 40.369571], [-104.744937, 40.365283], [-104.744884, 40.361683], [-104.738317, 40.360547], [-104.738186, 40.360576], [-104.73715, 40.360912], [-104.729155, 40.36218], [-104.724188, 40.361338], [-104.716117, 40.352638], [-104.713047, 40.341615], [-104.714701, 40.339457], [-104.715838, 40.338187], [-104.713157, 40.335785], [-104.712019, 40.337055], [-104.701575, 40.341713], [-104.699761, 40.343322], [-104.698175, 40.345781], [-104.69513, 40.352713], [-104.688035, 40.361525], [-104.679635, 40.361137], [-104.676035, 40.361063], [-104.670242, 40.36045], [-104.666643, 40.360469], [-104.665051, 40.361265], [-104.665054, 40.364865], [-104.658865, 40.37497], [-104.657543, 40.375393], [-104.657064, 40.376404], [-104.65658, 40.378861], [-104.657641, 40.379156], [-104.659093, 40.37857], [-104.660683, 40.377755], [-104.662921, 40.377336], [-104.667511, 40.377511], [-104.667139, 40.389225], [-104.664468, 40.390698], [-104.660473, 40.391229], [-104.654181, 40.393762], [-104.646566, 40.392192], [-104.642539, 40.383663], [-104.641714, 40.381476], [-104.638115, 40.381431], [-104.628742, 40.388498], [-104.622852, 40.38676], [-104.619252, 40.386771], [-104.609297, 40.390224], [-104.607452, 40.390211], [-104.605608, 40.390199], [-104.605583, 40.393799], [-104.602327, 40.402519], [-104.600034, 40.406413], [-104.60004, 40.406596], [-104.601468, 40.408151], [-104.601827, 40.408152], [-104.605906, 40.407666], [-104.608434, 40.407589], [-104.617834, 40.412978], [-104.61606, 40.424435], [-104.616269, 40.428029], [-104.61929, 40.429076], [-104.622889, 40.428962], [-104.627688, 40.424472], [-104.631927, 40.424362], [-104.634242, 40.435124], [-104.637937, 40.441473], [-104.641537, 40.441464], [-104.647638, 40.435175], [-104.653239, 40.437054], [-104.65199, 40.447988], [-104.650454, 40.449611], [-104.650439, 40.449762], [-104.651976, 40.451588], [-104.657041, 40.455052], [-104.660641, 40.455018], [-104.660634, 40.45435], [-104.660586, 40.449258], [-104.67005, 40.442651], [-104.677835, 40.445772], [-104.676162, 40.453715], [-104.673736, 40.460766], [-104.673145, 40.46145], [-104.672939, 40.463226], [-104.672793, 40.466823], [-104.676273, 40.470749], [-104.679873, 40.470688], [-104.687376, 40.465854], [-104.694931, 40.47092], [-104.69293, 40.47874], [-104.691782, 40.480393], [-104.691759, 40.480561], [-104.692449, 40.482308], [-104.696672, 40.48457], [-104.699829, 40.491849], [-104.700441, 40.495026], [-104.703976, 40.494345], [-104.703528, 40.490026], [-104.710428, 40.482765], [-104.710457, 40.479165], [-104.709194, 40.468838], [-104.715955, 40.468316], [-104.716819, 40.468316], [-104.718366, 40.468324], [-104.728334, 40.4643], [-104.730151, 40.465695], [-104.730306, 40.465693], [-104.737786, 40.465813], [-104.741166, 40.464573], [-104.749332, 40.457445], [-104.751208, 40.454757], [-104.751197, 40.454496], [-104.750666, 40.454331], [-104.748864, 40.442823], [-104.757936, 40.444211], [-104.758049, 40.444202], [-104.759551, 40.443883], [-104.761526, 40.443577], [-104.771608, 40.443938], [-104.775207, 40.443915], [-104.776186, 40.439232], [-104.784741, 40.432896], [-104.786632, 40.432418], [-104.793074, 40.432699], [-104.793274, 40.432719], [-104.796786, 40.430994], [-104.798088, 40.429293], [-104.798086, 40.429172], [-104.79621, 40.417788], [-104.798774, 40.412346], [-104.806827, 40.408585], [-104.809509, 40.408566], [-104.811143, 40.397509]]]]"
1,Summit,3600441008,71.0,46.0,0.0185,16.13980862,1,"[[-106.076606, 39.5698533]]","[[[[-106.138895, 39.547402], [-106.138584, 39.54722], [-106.132589, 39.554478], [-106.132358, 39.554698], [-106.132141, 39.554907], [-106.131908, 39.555183], [-106.131688, 39.555444], [-106.131186, 39.556136], [-106.130693, 39.556818], [-106.130523, 39.5571], [-106.130361, 39.55737], [-106.130233, 39.557635], [-106.130113, 39.557885], [-106.129995, 39.558244], [-106.122508, 39.567458], [-106.122118, 39.567589], [-106.12132, 39.56784], [-106.120518, 39.568093], [-106.12013, 39.568226], [-106.119746, 39.568358], [-106.119459, 39.568479], [-106.119184, 39.568595], [-106.118715, 39.568835], [-106.118258, 39.569068], [-106.117594, 39.569425], [-106.116934, 39.569779], [-106.116503, 39.570054], [-106.116083, 39.570321], [-106.115708, 39.57063], [-106.115352, 39.570926], [-106.104943, 39.573054], [-106.099682, 39.569043], [-106.092935, 39.566684], [-106.084125, 39.558555], [-106.083998, 39.558383], [-106.083871, 39.558212], [-106.083581, 39.558427], [-106.078028, 39.568629], [-106.077469, 39.568872], [-106.077383, 39.568907], [-106.07721, 39.568975], [-106.077038, 39.569044], [-106.07702, 39.569053], [-106.076874, 39.569131], [-106.076727, 39.569209], [-106.076581, 39.569287], [-106.076434, 39.569366], [-106.07641, 39.569381], [-106.075502, 39.569907], [-106.075331, 39.569996], [-106.064131, 39.56978], [-106.060074, 39.563145], [-106.060024, 39.562986], [-106.058348, 39.556134], [-106.058229, 39.555889], [-106.057999, 39.555705], [-106.05258, 39.551549], [-106.049989, 39.543882], [-106.049668, 39.54372], [-106.045429, 39.532767], [-106.045552, 39.532429], [-106.045564, 39.53226], [-106.044994, 39.529153], [-106.044646, 39.529061], [-106.038283, 39.530743], [-106.034378, 39.538823], [-106.034261, 39.539163], [-106.036141, 39.540738], [-106.040094, 39.550443], [-106.040106, 39.550501], [-106.044908, 39.553599], [-106.045046, 39.553737], [-106.048297, 39.558946], [-106.048196, 39.567541], [-106.045137, 39.573231], [-106.045019, 39.57343], [-106.044431, 39.576831], [-106.042946, 39.581711], [-106.0396, 39.589922], [-106.03188, 39.594518], [-106.031637, 39.594633], [-106.031445, 39.594867], [-106.031372, 39.595127], [-106.031404, 39.595315], [-106.031507, 39.595517], [-106.033137, 39.597081], [-106.033405, 39.59684], [-106.036828, 39.594103], [-106.037118, 39.59386], [-106.043718, 39.5889], [-106.044346, 39.588242], [-106.044417, 39.588102], [-106.044413, 39.587897], [-106.044339, 39.587649], [-106.044453, 39.580058], [-106.044492, 39.579934], [-106.044529, 39.579804], [-106.046122, 39.576088], [-106.057739, 39.573216], [-106.057842, 39.573322], [-106.057942, 39.573425], [-106.058087, 39.573539], [-106.058257, 39.57367], [-106.058434, 39.573767], [-106.058523, 39.573815], [-106.058619, 39.573868], [-106.058807, 39.573969], [-106.058972, 39.574036], [-106.059136, 39.574102], [-106.059321, 39.574151], [-106.059515, 39.574202], [-106.059698, 39.574239], [-106.059903, 39.57428], [-106.060132, 39.574298], [-106.060361, 39.574316], [-106.060591, 39.574334], [-106.06082, 39.574352], [-106.06105, 39.57437], [-106.061279, 39.574388], [-106.061394, 39.574397], [-106.061508, 39.574406], [-106.068995, 39.583749], [-106.06899, 39.583901], [-106.068808, 39.585578], [-106.0687, 39.586148], [-106.068662, 39.58632], [-106.068586, 39.586667], [-106.068627, 39.5872], [-106.069006, 39.58844], [-106.071552, 39.586479], [-106.071649, 39.586381], [-106.071757, 39.586214], [-106.071799, 39.586064], [-106.071988, 39.585236], [-106.072328, 39.584001], [-106.072945, 39.582536], [-106.07352, 39.581517], [-106.073596, 39.58132], [-106.082379, 39.57628], [-106.086722, 39.582461], [-106.08675, 39.582636], [-106.086777, 39.582811], [-106.086804, 39.582986], [-106.086831, 39.583161], [-106.086858, 39.583336], [-106.086885, 39.583511], [-106.086915, 39.5837], [-106.086949, 39.583897], [-106.087121, 39.584194], [-106.09018, 39.59414], [-106.085923, 39.598705], [-106.085785, 39.59878], [-106.085648, 39.598853], [-106.082529, 39.599916], [-106.077769, 39.603506], [-106.075691, 39.604741], [-106.075458, 39.604855], [-106.075261, 39.604962], [-106.074984, 39.605161], [-106.072856, 39.614361], [-106.072777, 39.614541], [-106.072695, 39.61473], [-106.07262, 39.614933], [-106.072541, 39.615145], [-106.07248, 39.615341], [-106.072414, 39.615558], [-106.072376, 39.615767], [-106.072335, 39.615993], [-106.072315, 39.61623], [-106.072296, 39.616466], [-106.072655, 39.616496], [-106.079673, 39.609305], [-106.088359, 39.60131], [-106.095885, 39.596253], [-106.097536, 39.594517], [-106.106766, 39.587165], [-106.107015, 39.587014], [-106.107273, 39.586857], [-106.107503, 39.586697], [-106.107744, 39.586529], [-106.107959, 39.586354], [-106.10818, 39.586175], [-106.108432, 39.585952], [-106.108703, 39.585711], [-106.108886, 39.585499], [-106.109079, 39.585273], [-106.109248, 39.585036], [-106.109423, 39.584791], [-106.109568, 39.584561], [-106.109721, 39.584316], [-106.109856, 39.584048], [-106.109996, 39.58377], [-106.110644, 39.582244], [-106.114205, 39.575914], [-106.122623, 39.567799], [-106.123025, 39.567663], [-106.123622, 39.567415], [-106.124226, 39.567164], [-106.124666, 39.566957], [-106.125118, 39.566744], [-106.12551, 39.566522], [-106.125909, 39.566297], [-106.126233, 39.566096], [-106.126565, 39.56589], [-106.126923, 39.565643], [-106.127289, 39.56539], [-106.127718, 39.565056], [-106.128155, 39.564715], [-106.128387, 39.564512], [-106.128622, 39.564304], [-106.128882, 39.564061], [-106.129155, 39.563804], [-106.129329, 39.563601], [-106.129514, 39.563384], [-106.129666, 39.56317], [-106.129826, 39.562941], [-106.129957, 39.562704], [-106.135864, 39.552369], [-106.136049, 39.552114], [-106.136241, 39.551849], [-106.136492, 39.551455], [-106.136747, 39.551056], [-106.137821, 39.549229], [-106.138895, 39.547402]]]]"
